000b	English         debug menu
0154	Kenapa			during
0155	Kenapa			during
0156	Kenapa			during
0157	Kenapa			during
0158	Kenapa			during
0159	Leppe-Hoppe		during bag quest?
015a	Kenapa			quest failed
015b	Kenapa			after failed
015c	Kenapa			end - success
015d	Kenapa			after success
015e	Kenapa			after success
015f	Ohbiru			after success
0160	Ohbiru			water quest start
0161	Ohbiru			during
0162	Ohbiru			get another canteen
0163	Ohbiru			end - success
0164	Ohbiru			after
0165	Kerutoto		ribbon quest start?
0166	Kerutoto		give ribbon
0167	Kerutoto		after giving?
0168	Kerutoto		ribbon triggers new quest?
0169	Kerutoto		during the new quest
016a	Kerutoto		quest end - success
016b	Kerutoto		after
016d	Kerutoto		3rd ribbon quest?
016e	Kerutoto		threw away ribbon?
016f	books			checking a suspicious book
0170	books			checking an old book
0171	books			can't open that book
0172	Tosuka-Porika	regular dialogue
0173	Furakku-Norakku	regular dialogue
0174	Hariga-Origa	regular dialogue
0175	Serukoko		regular dialogue
0176	Sohdede			regular dialogue
0179	Kotan-Moritan	regular dialogue
017a	Aora-Uora		regular dialogue
017b	Tosuka-Porika	regular dialogue?
017c	Tosuka			after 5-2
017d	Hariga-Origa	quest start
017e	Hariga			during
017f	Serukoko		during
0180	Sohdede			during
0181	Hariga			quest end, recieve map
0182	Hariga			after
0183	Tosuka			quest start
0184	Tosuka			during
0185	Furakku			during, Orn
0186	Furakku			repeat 185
0187	Kotan			during, Orn
0188	Aora-Uora		during, Orn
0189	Kyume-Romeh		during, Orn
018b	Orn				during
018c	Orn				after 18b
018d	Furakku			after 18b
018e	Orn				have book
018f	Orn				after 18e
0190	Furakku			quest end
0191	Furakku			after
0192	Tosuka			after, Orn
0193	Tosuka			repeat start
0194	Furakku			during, Jae
0195	Furakku			repeat 194
0196	Tosuka			during
0197	Kotan			during, Jae
0198	Aora-Uora		during, Jae
0199	Furakku			after talking to Jae
019a	Furakku			quest end
019b	Furakku			after
019c	Tosuka			after, Jae
019d	Hariga			quest II start
019e	Hariga			during
019f	Serukoko		during
01a0	Sohdede			during
01a1	Hariga			quest end - success
01a2	Hariga			after
01a3	Serukoko		after
01a4	Diroku-Oroku	talks about mage jobs
01a5	Pechiru-Mashiru	regular dialogue
01a6	Moreno-Toeno	regular dialogue
01a7	Fuepepe			regular dialogue
01a8	Tauwawa			regular dialogue
01a9	Kirarara		regular dialogue
01aa	Rukuku			regular dialogue
01ab	Akkeke			regular dialogue
01ac	Koko Lihzeh		regular dialogue
01ad	Mashuu-Ajuu		regular dialogue
01ae	Foi-Mui			regular dialogue
01af	Paku-Nakku		regular dialogue
01b0	Chomoro-Kyotoro	regular dialogue
01b2	PakesseMyukesse regular dialogue
01b3	Majiji			regular dialogue
01b4	Mimomo			regular dialogue
01b5	Moreno			quest not enough fame?
01b6	Moreno			quest start
01b7	Moreno			during
01b8	Moreno			end - success
01b9	Moreno			after
01ba	Fuepepe			aspir quest start
01bc	Moreno			during
01bd	Pechiru			during
01be	Tauwawa			during
01bf	Kirarara		during
01c0	Mashuu			during
01c1	Foi-Mui			during
01c2	Rukuku			during
01c3	Koko Lihzeh		during
01c4	Paku-Nakku		during
01c5	Akkeke			during
01c6	Chomoro			during
01c7	Fuepepe			found papers
01c8	Fuepepe			repeat 1c7
01c9	Chomoro			after 1c7
01ca	Fuepepe			quest end - success
01cb	Fuepepe			after
01cc	Chomoro			after
01cd	Chomoro			after 1cc
01cf	Mashuu			plant quest start
01d0	Mashuu			during
01d1	Kirara			during
01d2	Foi-Mui			during
01d3	Paku-Nakku		during
01d4	Akkeke			during
01d5	Moreno			during
01d6	Rukuku			during
01d7	Koko Lihzeh		during
01d8	Chomoro			during
01db	Mashuu			quest end - success
01dc	Mashuu			after success
01dd	Mashuu			quest end - HQ success
01de	Mashuu			after HQ success
01df	Mashuu			repeat start
01e0	Moreno			after
01e1	Paku			middle of sleeping quest?
01e2	Paku			sleeping
01e3	Mashuu			about Paku
01e4	Akkeke			about Paku
01e5	Kirarara		about Paku
01e6	Foi				about Paku
01e7	Rukuku			about Paku
01e8	Koko Lihzeh		about Paku
01e9	Chomoro			about Paku
01ea	Pechiru			about Paku
01eb	Moreno			about Paku
01ec	Pechiru			further along in quest
01ed	Fuepepe			about Paku
01ee	Paku			fail to awaken
01ef	Pechiru			after 1ee
01f0	Pechiru			after 1ef?
01f1	Pechiru			quest end? - success
01f2	Pechiru			after
01f3	Paku			quest end - success?
01f4	Paku			after
01f5	Mashuu			after
01f6	Akkeke			after
01f7	Kirarara		after
01f8	Foi-Mui			after
01f9	Rukuku			after
01fa	Koko Lihzeh		after
01fb	Chomoro			after
01fc	Temoe-Amoe		regular dialogue?
01fd	Arukoko			regular dialogue?
01fe	Gevirun-Gabirun	regular dialogue?
01ff	Pulykiki		regular dialogue?
0200	Moari-Kaaori	regular dialogue?
0201	Mashishi		regular dialogue?
0202	Moari-Kaaori	flower quest start
0203	Moari			during
0204	Ohbiru			select flower
0205	Ohbiru			bought wrong flower?
0206	Ohbiru			bought right flower?
0207	Kenapa			where to find flower
0208	Moari			quest end - HQ success
0209	Moari			after
020a	Moari			quest end - success
020b	Moari			wrong flower
020c	Moari			after HQ success?
020d	Moari			HQ success - receive gil
020e	Machitata		regular dialogue - MH guard
020f	Machitata		after 20e
0210	Machitata		move back to windy
0211	Machitata		non-windy, have room
0212	Machitata		non-windy, need room
0213	Opening CS		opening movie
0214	Opening CS		opening dialogue
0215	Opening CS		opening dialogue
0216	Opening CS		ask about
0217	Opening CS		opening dialogue
0218	Opening CS		opening dialogue
0219	Opening CS		opening dialogue
021a	Opening CS		opening dialogue
021b	Opening CS		opening dialogue
021d	Pechiru			alchemy quest - during
0220	Moreno			alchemy quest - during
0221	Fuepepe			alchemy quest - during
0222	Fuepepe			after 221
0223	Baren-Moren		hat quest 3 - start?
0224	Baren-Moren		hat quest 3 - during
0225	Baren			quest end - success
0226	Baren			repeat offer
0227	Chamama			star onion mustache quest
0228	Chamama			make mustache
0229	Chamama			after?
022a	Ranpi			mushroom stew quest start?
022b	Ranpi			during
022c	Ranpi			made stew
022d	Ranpi			after?
022f	Karuru			regular dialogue
0230	Pojimo-Rojimo	regular dialogue
0231	Shante-Fante	regular dialogue
0232	AmagusaChigurusaregular dialogue
0233	Kobite-Mojite	regular dialogue
0234	Moitoto			regular dialogue
0235	Yohra-Ora		regular dialogue
0236	Bulolo			regular dialogue
0237	Janta-Jonta		regular dialogue
0238	Rabiri-Tabiri	regular dialogue
0239	Koowawa			regular dialogue
023a	Hororo			regular dialogue
023b	Tonana			warp taru
023c	Porupen-Kyurupenregular dialogue
023d	Miriri			regular dialogue
023e	Okaka			regular dialogue
023f	Damami-Karumi	regular dialogue
0240	Funpo-Shipo		regular dialogue
0241	Shanana			regular dialogue
0242	Tsuran-Botaran	regular dialogue
0243	Yomotsutsu		regular dialogue
0244	Myumimi			regular dialogue
0245	Myumimi			paired with 244
0246	Torikoko		regular dialogue - with 244?
0247	Queo-Paeo		regular dialogue
0248	Ramasese		regular dialogue
0249	Shataru-Potaru	regular dialogue
024a	Kuesoso			regular dialogue
024b	Khuta Colaara	regular dialogue
024c	Panaa			regular dialogue
024d	Reh Hapli		non-windy dialogue
024e	Reh Hapli		regular dialogue
024f	Buchi Kohmrijah	regular dialogue
0250	Buchi			paired with 24f
0251	Nasoh Joli		regular dialogue
0252	Akee Yonji		regular dialogue - quest?
0253	Akee Yonji		after 252 - during?
0254	Sahgi Konchumih	regular dialogue
0255	Pia				regular dialogue
0257	Caliburn		regular dialogue
0258	Gordias			regular dialogue
0259	Enrefort		regular dialogue
025a	Clais			regular dialogue
025b	Khuta Colaara	rank 3 dialogue?
025c	Kyume-Romeh		regular dialogue
025d	Aramu-Paramu	night dialogue
025e	Aramu			morning dialogue
025f	Aramu			day dialogue
0260	Aramu			evening dialogue
0261	Yung Yaam		regular dialogue
0262	Jatan-Paratan	day dialogue
0263	Jatan-Paratan	night dialogue
0264	Yuli Yaam		night dialogue
0265	Yuli Yaam		day dialogue
0266	Zabirego-Hajigo	regular dialogue
0267	Jatan-Paratan	day dialogue?
0279	Jatan-Paratan	ask how he performed
027a	Jatan			ask about the restaurant
027b	Jatan			after 27a
027c	Yung Yaam		about Jatan
027d	Yuli Yaam		about Jatan
027e	Jatan			quest end?? - BRD AF??
027f	Jatan			after
0281	Yuli Yaam		after
0283	Yung Yaam		after
0286	Hobibi			regular dialogue
028a	Honoi-Gomoi		regular dialogue
028b	Chamama			regular dialogue
028c	Orn				regular dialogue
028e	Chamama			smooth stone quest start
028f	Chamama			during
0290	Chamama			after wrong stone?
0291	Chamama			needs heavier
0292	Chamama			needs bigger
0293	Chamama			quest end - success
0294	Chamama			after
0295	Chamama			repeat start
0296	Chamama			repeat end - success
0297	Naiko-Paneiko	regular dialogue - not enough fame
0298	Chyuk Kochak	regular dialogue
0299	Naiko			news quest start
029a	Naiko			during
029b	Chyuk			during
029c	Kyume-Romeh		get article
029d	Kyume-Romeh		after 29c
029e	Naiko			quest end - HQ success
029f	Naiko			after
02a0	Chyuk			after
02a1	Naiko			wrong article
02a2	Naiko			quest end - success
02a3	Chyuk			after 2a2
02a4	Naiko			stolen quest start
02a5	Naiko			during
02a6	Naiko			during??
02a7	Chyuk			during
02a8	Naiko			quest end - success
