spellID	spellName	mpCost	castTime	recastTime
95	Esuna		24	5.00	30	30
96	Auspice		48	3.00	10	10
97	Reprisal	24	0.50	3	3
98	Repose		26	4.50	30	30
99	Sandstorm	30	3.00	15	15
100	Enfire		12	3.00	10	10
101	Enblizzard	12	3.00	10	10
102	Enaero		12	3.00	10	10
103	Enstone		12	3.00	10	10
104	Enthunder	12	3.00	10	10
105	Enwater		12	3.00	10	10
106	Phalanx		21	3.00	10	10
107	PhalanxII	42	3.00	10	10
108	Regen		15	4.00	12	12
109	Refresh		40	5.00	18	18
110	RegenII		36	4.50	16	16
111	RegenIII	64	5.00	20	20
112	Flash		25	0.50	45	45
113	Rainstorm	30	3.00	15	15
114	Windstorm	30	3.00	15	15
115	Firestorm	30	3.00	15	15
116	Hailstorm	30	3.00	15	15
117	Thunderstorm	30	3.00	15	15
118	Voidstorm	30	3.00	15	15
119	Aurorastorm	30	3.00	15	15
120	Teleport-Yhoat	100	20.00	10	10
121	Teleport-Altep	100	20.00	10	10
122	Teleport-Holla	75	20.00	10	10
123	Teleport-Dem	75	20.00	10	10
124	Teleport-Mea	75	20.00	10	10
125	Protectra	9	3.00	15	15
126	ProtectraII	28	3.75	16	16
127	ProtectraIII	46	4.50	17	17
128	ProtectraIV	65	5.25	18	18
129	ProtectraV	84	10.00	20	20
130	Shellra		18	3.00	15	15
131	ShellraII	37	3.75	16	16
132	ShellraIII	56	4.50	17	17
133	ShellraIV	75	5.25	18	18
134	ShellraV	93	6.00	19	19
135	Reraise		150	8.00	60	60
136	Invisible	15	2.00	8	8
137	Sneak		12	2.00	8	8
138	Deodorize	10	2.00	8	8
139	Teleport-Vahzl	100	20.00	10	10
140	RaiseIII	150	12.00	60	60
141	ReraiseII	150	7.50	60	60
142	ReraiseIII	150	7.00	60	60
143	Erase		18	2.50	15	15
144	Fire		24	2.00	10	10
145	FireII		68	4.00	18.5	18.5
146	FireIII		113	6.00	26.5	26.5
147	FireIV		157	8.00	34.75	34.75
148	FireV		272	9.75	42.75	42.75
149	Blizzard	30	2.50	11.5	11.5
150	BlizzardII	77	4.50	20	20
151	BlizzardIII	120	6.25	27.75	27.75
152	BlizzardIV	164	8.25	36	36
153	BlizzardV	285	10.00	44	44
154	Aero		18	2.00	9	9
155	AeroII		59	3.75	17	17
156	AeroIII		106	5.75	25.25	25.25
157	AeroIV		150	7.50	33.25	33.25
158	AeroV		260	9.50	41.5	41.5
159	Stone		9	1.50	6.5	6.5
160	StoneII		43	3.00	14.5	14.5
161	StoneIII	92	5.25	22.5	22.5
162	StoneIV		138	7.00	30.75	30.75
163	StoneV		235	8.75	39	39
164	Thunder		37	3.00	13	13
165	ThunderII	86	5.00	21	21
166	ThunderIII	128	6.75	29.25	29.25
167	ThunderIV	171	8.50	37.25	37.25
168	ThunderV	298	10.25	45.5	45.5
169	Water		13	2.00	8	8
170	WaterII		51	3.50	15.75	15.75
171	WaterIII	98	5.50	24	24
172	WaterIV		144	7.25	36	36
173	WaterV		247	9.25	40.25	40.25
174	Firaga		71	3.50	15.25	15.25
175	FiragaII	158	5.25	23.25	23.25
176	FiragaIII	277	7.25	31.5	31.5
177	FiragaIV	428	9.00	39.5	39.5
178	FiragaV		610	11.00	47.75	47.75
179	Blizzaga	82	4.00	16.5	16.5
180	BlizzagaII	175	5.50	24.5	24.5
181	BlizzagaIII	299	7.50	32.75	32.75
182	BlizzagaIV	455	9.25	40.75	40.75
183	BlizzagaV	642	11.25	49	49
184	Aeroga		57	3.00	13.5	13.5
185	AerogaII	138	5.00	21.75	21.75
186	AerogaIII	252	6.75	29.75	29.75
187	AerogaIV	396	8.75	38	38
188	AerogaV		571	10.50	56	56
189	Stonega		37	2.50	11	11
190	StonegaII	109	4.25	19	19
191	StonegaIII	211	6.25	27.25	27.25
192	StonegaIV	345	8.00	35.25	35.25
193	StonegaV	512	10.00	43.5	43.5
194	Thundaga	95	4.00	18	18
195	ThundagaII	193	6.00	26	26
196	ThundagaIII	322	7.75	34	34
197	ThundagaIV	483	9.50	42.25	42.25
198	ThundagaV	674	11.50	50.25	50.25
199	Waterga		47	2.75	12.25	12.25
200	WatergaII	123	4.50	20.25	20.25
201	WatergaIII	231	6.50	28.5	28.5
202	WatergaIV	371	8.25	36.5	36.5
203	WatergaV	541	10.25	44.75	44.75
204	Flare		383	19.00	44.5	44.5
205	FlareII		287	10.00	90	90
206	Freeze		307	17.75	41.5	41.5
207	FreezeII	287	10.00	90	90
208	Tornado		322	18.00	42.25	42.25
209	TornadoII	287	10.00	90	90
210	Quake		337	18.25	42.75	42.75
211	QuakeII		287	10.00	90	90
212	Burst		352	18.50	43.25	43.25
213	BurstII		287	10.00	90	90
214	Flood		368	18.75	43.75	43.75
215	FloodII		287	10.00	90	90
216	Gravity		24	1.50	60	60
217	GravityII	5	2.00	10	10
218	Meteor		1	8.00	10	10
219	Comet		1	4.00	10	10
220	Poison		5	1.00	5	5
221	PoisonII	38	1.00	5	5
222	PoisonIII	72	1.00	5	5
223	PoisonIV	106	1.00	5	5
224	PoisonV		140	1.00	5	5
225	Poisonga	44	2.00	10	10
226	PoisongaII	112	2.00	10	10
227	PoisongaIII	180	2.00	10	10
228	PoisongaIV	248	2.00	10	10
229	PoisongaV	314	2.00	10	10
230	Bio		15	1.50	5	5
231	BioII		36	1.50	5	5
232	BioIII		54	1.50	15	15
233	BioIV		154	1.50	5	5
234	BioV		197	1.50	5	5
235	Burn		25	2.50	10	10
236	Frost		25	2.50	10	10
237	Choke		25	2.50	10	10
238	Rasp		25	2.50	10	10
239	Shock		25	2.50	10	10
240	Drown		25	2.50	10	10
241	Retrace		150	8.00	10	10
242	Absorb-ACC	33	2.00	60	60
245	Drain		21	3.00	60	60
246	DrainII		37	3.00	180	180
247	Aspir		10	3.00	60	60
248	AspirII		40	5.00	60	60
249	BlazeSpikes	8	3.00	10	10
250	IceSpikes	16	3.00	10	10
251	ShockSpikes	24	3.00	10	10
252	Stun		25	0.50	45	45
253	Sleep		19	2.50	30	30
254	Blind		5	2.00	10	10
255	Break		50	12.00	10	10
256	Virus		10	1.50	10	10
257	Curse		10	3.00	10	10
258	Bind		8	2.00	40	40
259	SleepII		29	3.00	30	30
260	Dispel		25	3.00	10	10
261	Warp		100	4.00	10	10
262	WarpII		150	5.00	10	10
263	Escape		125	15.00	60	60
264	Tractor		26	3.00	10	10
265	TractorII	50	3.00	10	10
266	Absorb-STR	33	2.00	60	60
267	Absorb-DEX	33	2.00	60	60
268	Absorb-VIT	33	2.00	60	60
269	Absorb-AGI	33	2.00	60	60
270	Absorb-INT	33	2.00	60	60
271	Absorb-MND	33	2.00	60	60
272	Absorb-CHR	33	2.00	60	60
273	Sleepga		38	3.00	30	30
274	SleepgaII	58	3.50	45	45
275	Absorb-TP	33	2.00	60	60
276	BlindII		31	3.00	20	20
277	DreadSpikes	78	3.00	3	3
278	Geohelix	87	6.00	41	41
279	Hydrohelix	87	6.00	41	41
280	Anemohelix	87	6.00	41	41
281	Pyrohelix	87	6.00	41	41
282	Cryohelix	87	6.00	41	41
283	Ionohelix	87	6.00	41	41
284	Noctohelix	87	6.00	41	41
285	Luminohelix	87	6.00	41	41
287	Klimaform	30	5.00	180	180
288	FireSpirit	10	1.00	10	10
289	IceSpirit	10	1.00	10	10
290	AirSpirit	10	1.00	10	10
291	EarthSpirit	10	1.00	10	10
292	ThunderSpirit	10	1.00	10	10
293	WaterSpirit	10	1.00	10	10
294	LightSpirit	10	1.00	10	10
295	DarkSpirit	10	1.00	10	10
296	Carbuncle	5	5.00	30	30
297	Fenrir		15	5.00	30	30
298	Ifrit		7	5.00	30	30
299	Titan		7	5.00	30	30
300	Leviathan	7	5.00	30	30
301	Garuda		7	5.00	30	30
302	Shiva		7	5.00	30	30
303	Ramuh		7	5.00	30	30
304	Diabolos	15	5.00	30	30
312	EnfireII	24	4.00	24	24
313	EnblizzardII	24	4.00	24	24
314	EnaeroII	24	4.00	24	24
315	EnstoneII	24	4.00	24	24
316	EnthunderII	24	4.00	24	24
317	EnwaterII	24	4.00	24	24
318	Monomi:Ichi	0	4.00	30	30
320	Katon:Ichi	0	4.00	30	30
321	Katon:Ni	0	1.50	45	45
322	Katon:San	0	2.50	60	60
323	Hyoton:Ichi	0	4.00	30	30
324	Hyoton:Ni	0	1.50	45	45
325	Hyoton:San	0	2.50	60	60
326	Huton:Ichi	0	4.00	30	30
327	Huton:Ni	0	1.50	45	45
328	Huton:San	0	2.50	60	60
329	Doton:Ichi	0	4.00	30	30
330	Doton:Ni	0	1.50	45	45
331	Doton:San	0	2.50	60	60
332	Raiton:Ichi	0	4.00	30	30
333	Raiton:Ni	0	1.50	45	45
334	Raiton:San	0	2.50	60	60
335	Suiton:Ichi	0	4.00	30	30
336	Suiton:Ni	0	1.50	45	45
337	Suiton:San	0	2.50	60	60
338	Utsusemi:Ichi	0	4.00	30	30
339	Utsusemi:Ni	0	1.50	45	45
340	Utsusemi:San	0	12.00	60	60
341	Jubaku:Ichi	0	4.00	30	30
342	Jubaku:Ni	0	1.50	45	45
343	Jubaku:San	0	12.00	60	60
344	Hojo:Ichi	0	4.00	30	30
345	Hojo:Ni		0	1.50	45	45
346	Hojo:San	0	12.00	60	60
347	Kurayami:Ichi	0	4.00	30	30
348	Kurayami:Ni	0	1.50	45	45
349	Kurayami:San	0	12.00	60	60
350	Dokumori:Ichi	0	4.00	30	30
351	Dokumori:Ni	0	1.50	45	45
352	Dokumori:San	0	12.00	60	60
353	Tonko:Ichi	0	4.00	30	30
354	Tonko:Ni	0	1.50	45	45
355	Tonko:San	0	12.00	60	60
356	Paralyga	12	4.00	20	20
357	Slowga		30	2.50	30	30
358	Hastega		80	4.00	30	30
359	Silencega	32	4.00	20	20
360	Dispelga	20	5.00	60	60
361	Blindga		10	2.50	20	20
362	Bindga		16	2.50	50	50
363	Sleepga		38	3.00	30	30
364	SleepgaII	58	3.50	45	45
365	Breakga		100	5.00	60	60
366	Graviga		48	2.00	60	60
367	Death		666	5.00	10	10
368	FoeRequiem	0	2.00	24	24
369	FoeRequiemII	0	2.00	24	24
370	FoeRequiemIII	0	2.00	24	24
371	FoeRequiemIV	0	2.00	24	24
372	FoeRequiemV	0	2.00	24	24
373	FoeRequiemVI	0	2.00	24	24
374	FoeRequiemVII	0	2.00	24	24
375	FoeRequiemVIII	0	2.00	24	24
376	HordeLullaby	0	2.00	24	24
377	HordeLullabyII	0	2.00	24	24
378	ArmysPaeon	0	8.00	24	24
379	ArmysPaeonII	0	8.00	24	24
380	ArmysPaeonIII	0	8.00	24	24
381	ArmysPaeonIV	0	8.00	24	24
382	ArmysPaeonV	0	8.00	24	24
383	ArmysPaeonVI	0	8.00	24	24
384	ArmysPaeonVII	0	8.00	24	24
385	ArmysPaeonVIII	0	8.00	24	24
386	MagesBallad	0	8.00	24	24
387	MagesBalladII	0	8.00	24	24
388	MagesBalladIII	0	8.00	24	24
389	KnightsMinne	0	8.00	24	24
390	KnightsMinneII	0	8.00	24	24
391	KnightsMinneIII	0	8.00	24	24
392	KnightsMinneIV	0	8.00	24	24
393	KnightsMinneV	0	8.00	24	24
394	ValorMinuet	0	8.00	24	24
395	ValorMinuetII	0	8.00	24	24
396	ValorMinuetIII	0	8.00	24	24
397	ValorMinuetIV	0	8.00	24	24
398	ValorMinuetV	0	8.00	24	24
399	SwordMadrigal	0	8.00	24	24
400	BladeMadrigal	0	8.00	24	24
401	HuntersPrelude	0	8.00	24	24
402	ArchersPrelude	0	8.00	24	24
403	SheepfoeMambo	0	8.00	24	24
404	DragonfoeMambo	0	8.00	24	24
405	FowlAubade	0	8.00	24	24
406	HerbPastoral	0	8.00	24	24
407	ChocoboHum	0	8.00	24	24
408	ShiningFantasia	0	8.00	24	24
409	ScopsOperetta	0	8.00	24	24
410	PuppetsOperetta	0	8.00	24	24
411	JestersOperetta	0	8.00	24	24
412	GoldCapriccio	0	8.00	24	24
413	DevoteeSerenade	0	8.00	24	24
414	WardingRound	0	8.00	24	24
415	GoblinGavotte	0	8.00	24	24
416	CactuarFugue	0	8.00	24	24
417	MoogleRhapsody	0	8.00	24	24
418	ProtectedAria	0	8.00	24	24
419	AdvancingMarch	0	8.00	24	24
420	VictoryMarch	0	8.00	24	24
421	BattlefieldElegy0	2.00	24	24
422	CarnageElegy	0	2.00	24	24
423	MassacreElegy	0	2.00	24	24
424	SinewyEtude	0	4.00	24	24
425	DextrousEtude	0	4.00	24	24
426	VivaciousEtude	0	4.00	24	24
427	QuickEtude	0	4.00	24	24
428	LearnedEtude	0	4.00	24	24
429	SpiritedEtude	0	4.00	24	24
430	EnchantingEtude	0	4.00	24	24
431	HerculeanEtude	0	4.00	24	24
432	UncannyEtude	0	4.00	24	24
433	VitalEtude	0	4.00	24	24
434	SwiftEtude	0	4.00	24	24
435	SageEtude	0	4.00	24	24
436	LogicalEtude	0	4.00	24	24
437	BewitchingEtude	0	4.00	24	24
438	FireCarol	0	8.00	24	24
439	IceCarol	0	8.00	24	24
440	WindCarol	0	8.00	24	24
441	EarthCarol	0	8.00	24	24
442	LightningCarol	0	8.00	24	24
443	WaterCarol	0	8.00	24	24
444	LightCarol	0	8.00	24	24
445	DarkCarol	0	8.00	24	24
446	FireCarolII	0	8.00	24	24
447	IceCarolII	0	8.00	24	24
448	WindCarolII	0	8.00	24	24
449	EarthCarolII	0	8.00	24	24
450	LightningCarolII0	8.00	24	24
451	WaterCarolII	0	8.00	24	24
452	LightCarolII	0	8.00	24	24
453	DarkCarolII	0	8.00	24	24
454	FireThrenody	0	2.00	24	24
455	IceThrenody	0	2.00	24	24
456	WindThrenody	0	2.00	24	24
457	EarthThrenody	0	2.00	24	24
458	Ltng.Threnody	0	2.00	24	24
459	WaterThrenody	0	2.00	24	24
460	LightThrenody	0	2.00	24	24
461	DarkThrenody	0	2.00	24	24
462	MagicFinale	0	2.00	24	24
463	FoeLullaby	0	2.00	24	24
464	GoddesssHymnus	0	4.00	24	24
465	ChocoboMazurka	0	4.00	60	60
466	MaidensVirelai	0	4.00	60	60
467	RaptorMazurka	0	6.00	24	24
468	FoeSirvente	0	4.00	24	24
469	AdventurersDirge0	4.00	24	24
513	VenomShell	86	3.00	45	45
515	Maelstrom	162	6.00	39	39
517	MetallicBody	19	7.00	60	60
519	Screwdriver	21	0.50	14	14
521	MPDrainkiss	20	4.00	90	90
522	DeathRay	49	4.50	29.25	29.25
524	Sandspin	10	1.50	9.75	9.75
527	SmiteofRage	28	0.50	13	13
529	Bludgeon	16	0.50	11.75	11.75
530	Refueling	29	1.50	30	30
531	IceBreak	142	5.25	33.75	33.75
532	Blitzstrahl	70	4.50	29.25	29.25
533	Self-Destruct	100	3.25	21	21
534	MysteriousLight	73	3.75	24.5	24.5
535	ColdWave	37	4.00	60	60
536	PoisonBreath	22	3.00	19.5	19.5
537	StinkingGas	37	4.00	60	60
538	MementoMori	46	3.50	2	2
539	TerrorTouch	62	3.25	21	21
540	SpinalCleave	61	0.50	28.5	28.5
541	BloodSaber	25	4.00	90	90
542	Digest		20	4.00	90	90
543	MandibularBite	38	0.50	19.25	19.25
544	CursedSphere	36	3.00	19.5	19.5
545	SickleSlash	41	0.50	20.5	20.5
547	Cocoon	10	1.75	60	60
548	FilamentedHold	38	2.00	20	20
549	Pollen		8	2.00	5	5
551	PowerAttack	5	0.50	7.25	7.25
554	DeathScissors	51	0.50	24.5	24.5
555	MagnetiteCloud	86	4.50	29.25	29.25
557	EyesOnMe	112	4.50	29.25	29.25
560	FreneticRip	61	0.50	28.5	28.5
561	FrightfulRoar	32	2.00	20	20
563	HecatombWave	116	5.25	33.75	33.75
564	BodySlam	74	1.00	27.75	27.75
565	RadiantBreath	116	5.25	33.75	33.75
567	Helldive	16	0.50	11.25	11.25
569	JetStream	47	0.50	23	23
570	BloodDrain	10	4.00	90	90
572	SoundBlast	25	4.00	30	30
573	FeatherTickle	48	4.00	26	26
574	FeatherBarrier	29	2.00	120	120
575	Jettatura	37	0.50	120	120
576	Yawn		55	3.00	60	60
577	FootKick	5	0.50	6.5	6.5
578	WildCarrot	37	2.50	6	6
579	VoraciousTrunk	72	10.00	56	56
581	HealingBreeze	55	4.50	15	15
582	ChaoticEye	13	3.00	10	10
584	SheepSong	22	3.00	60	60
585	RamCharge	79	0.50	34.75	34.75
587	ClawCyclone	24	1.00	19.75	19.75
588	Lowing		66	7.00	56	56
589	DimensionalDeath48	0.50	23.75	23.75
591	HeatBreath	169	7.50	49	49
592	BlankGaze	25	3.00	10	10
593	MagicFruit	72	3.50	6	6
594	Uppercut	31	0.50	17.5	17.5
595	1000Needles	350	12.00	120	120
596	PineconeBomb	48	2.50	26.5	26.5
597	SproutSmack	6	0.50	7.25	7.25
598	Soporific	38	3.00	90	90
599	Queasyshroom	20	2.00	15	15
603	WildOats	9	0.50	7.25	7.25
604	BadBreath	212	8.75	120	120
605	GeistWall	35	3.00	30	30
606	AwfulEye	32	2.50	60	60
608	FrostBreath	136	6.50	42.75	42.75
610	Infrasonics	42	5.00	120	120
611	Disseverment	74	0.50	32.75	32.75
612	ActinicBurst	24	0.50	60	60
613	ReactorCool	28	3.00	60	60
614	SalineCoat	66	3.00	60	60
615	PlasmaCharge	24	3.00	60	60
616	TemporalShift	48	0.50	120	120
617	VerticalCleave	86	0.50	37.25	37.25
618	Blastbomb	36	2.25	15	15
620	BattleDance	12	1.00	10	10
621	Sandspray	43	3.00	90	90
622	GrandSlam	24	1.00	4.25	4.25
623	HeadButt	12	0.50	10	10
626	BombToss	42	3.75	24.5	24.5
628	Frypan		65	1.00	26	26
629	FlyingHipPress	125	5.75	34.5	34.5
631	HydroShot	55	0.50	26	26
632	Diamondhide	99	7.00	90	90
633	Enervation	48	3.50	60	60
634	LightofPenance	53	3.00	60	60
636	Warm-Up		59	7.00	120	120
637	Firespit	121	6.50	42.75	42.75
638	FeatherStorm	12	0.50	10	10
640	TailSlap	77	1.00	28.5	28.5
641	HystericBarrage	61	0.50	28.5	28.5
642	Amplification	48	7.00	120	120
643	Cannonball	66	0.50	28.5	28.5
644	MindBlast	82	3.00	30	30
645	Exuviation	40	3.00	60	60
646	MagicHammer	40	4.00	180	180
647	ZephyrMantle	31	7.00	60	60
648	Regurgitation	69	5.00	24	24
650	Seedspray	61	4.00	35	35
651	CorrosiveOoze	55	5.00	30	30
652	SpiralSpin	39	4.00	45	45
653	AsuranClaws	81	3.00	60	60
