---Item List as of 04/09/2009---
Tools: POLutils (thanks Pebbles)
Organizer: Blasingame

Notes: If you find any missing items on this list please notify dev or myself on http://www.projectxi.org/forums/.

Table of Contents:
1. General Items	[GI1]
000002AD (685)	chunk of khroma ore
000002AE (686)	Imperial wootz ingot
000002B0 (688)	arrowwood log
000002B1 (689)	lauan log
000002B2 (690)	elm log
000002B3 (691)	maple log
000002B4 (692)	beech log
000002B5 (693)	walnut log
000002B6 (694)	chestnut log
000002B7 (695)	willow log
000002B8 (696)	yew log
000002B9 (697)	holly log
000002BA (698)	ash log
000002BB (699)	oak log
000002BC (700)	mahogany log
000002BD (701)	rosewood log
000002BE (702)	ebony log
000002BF (703)	petrified log
000002C0 (704)	bamboo stick
000002C1 (705)	piece of arrowwood lumber
000002C2 (706)	piece of lauan lumber
000002C3 (707)	piece of elm lumber
000002C4 (708)	piece of maple lumber
000002C5 (709)	piece of beech lumber
000002C6 (710)	piece of chestnut lumber
000002C7 (711)	piece of walnut lumber
000002C8 (712)	piece of willow lumber
000002C9 (713)	piece of yew lumber
000002CA (714)	piece of holly lumber
000002CB (715)	piece of ash lumber
000002CC (716)	piece of oak lumber
000002CD (717)	piece of mahogany lumber
000002CE (718)	piece of rosewood lumber
000002CF (719)	piece of ebony lumber
000002D0 (720)	piece of ancient lumber
000002D1 (721)	piece of rattan lumber
000002D2 (722)	divine log
000002D3 (723)	piece of divine lumber
000002D4 (724)	piece of magnolia lumber
000002D5 (725)	piece of hickory lumber
000002D6 (726)	piece of steel walnut lumber
000002D7 (727)	dogwood log
000002D8 (728)	piece of dogwood lumber
000002D9 (729)	bloodwood log
000002DA (730)	piece of bloodwood lumber
000002E0 (736)	chunk of silver ore
000002E1 (737)	chunk of gold ore
000002E2 (738)	chunk of platinum ore
000002E3 (739)	chunk of orichalcum ore
000002E8 (744)	silver ingot
000002E9 (745)	gold ingot
000002EA (746)	platinum ingot
000002EB (747)	orichalcum ingot
000002EC (748)	gold beastcoin
000002ED (749)	mythril beastcoin
000002EE (750)	silver beastcoin
000002EF (751)	platinum beastcoin
000002F0 (752)	gold sheet
000002F2 (754)	platinum sheet
000002F8 (760)	silver chain
000002F9 (761)	gold chain
000002FA (762)	platinum chain
000002FB (763)	orichalcum chain
000002FC (764)	brass chain
00000300 (768)	flint stone
00000301 (769)	red rock
00000302 (770)	blue rock
00000303 (771)	yellow rock
00000304 (772)	green rock
00000305 (773)	translucent rock
00000306 (774)	purple rock
00000307 (775)	black rock
00000308 (776)	white rock
00000310 (784)	jadeite
00000311 (785)	emerald
00000312 (786)	ruby
00000313 (787)	diamond
00000314 (788)	peridot
00000315 (789)	topaz
00000316 (790)	garnet
00000317 (791)	aquamarine
00000318 (792)	pearl
00000319 (793)	black pearl
0000031A (794)	sapphire
0000031B (795)	lapis lazuli
0000031C (796)	light opal
0000031D (797)	painite
0000031E (798)	turquoise
0000031F (799)	onyx
00000320 (800)	amethyst
00000321 (801)	chrysoberyl
00000322 (802)	moonstone
00000323 (803)	sunstone
00000324 (804)	spinel
00000325 (805)	zircon
00000326 (806)	tourmaline
00000327 (807)	sardonyx
00000328 (808)	goshenite
00000329 (809)	clear topaz
0000032A (810)	fluorite
0000032B (811)	ametrine
0000032C (812)	deathstone
0000032D (813)	angelstone
0000032E (814)	amber stone
0000032F (815)	sphene
00000330 (816)	spool of silk thread
00000331 (817)	spool of grass thread
00000332 (818)	spool of cotton thread
00000333 (819)	spool of linen thread
00000334 (820)	spool of wool thread
00000335 (821)	spool of rainbow thread
00000336 (822)	spool of silver thread
00000337 (823)	spool of gold thread
00000338 (824)	square of grass cloth
00000339 (825)	square of cotton cloth
0000033A (826)	square of linen cloth
0000033B (827)	square of wool cloth
0000033C (828)	square of velvet cloth
0000033D (829)	square of silk cloth
0000033E (830)	square of rainbow cloth
0000033F (831)	square of shining cloth
00000340 (832)	clump of sheep wool
00000341 (833)	clump of moko grass
00000342 (834)	ball of Saruta cotton
00000343 (835)	flax flower
00000344 (836)	square of damascene cloth
00000345 (837)	spool of malboro fiber
00000346 (838)	spider web
00000347 (839)	piece of crawler cocoon
00000348 (840)	chocobo feather
00000349 (841)	Yagudo feather
0000034A (842)	giant bird feather
0000034B (843)	giant bird plume
0000034C (844)	phoenix feather
0000034D (845)	black chocobo feather
0000034E (846)	insect wing
0000034F (847)	bird feather
00000350 (848)	square of dhalmel leather
00000351 (849)	undead skin
00000352 (850)	square of sheep leather
00000353 (851)	square of ram leather
00000354 (852)	lizard skin
00000355 (853)	raptor skin
00000356 (854)	cockatrice skin
00000357 (855)	square of black tiger leather
00000358 (856)	rabbit hide
00000359 (857)	dhalmel hide
0000035A (858)	wolf hide
0000035B (859)	ram skin
0000035C (860)	behemoth hide
0000035D (861)	black tiger hide
0000035E (862)	square of behemoth leather
0000035F (863)	coeurl hide
00000360 (864)	handful of fish scales
00000361 (865)	handful of Nidhogg's scales
00000362 (866)	handful of wyvern scales
00000363 (867)	handful of dragon scales
00000364 (868)	handful of pugil scales
00000365 (869)	lizard molt
00000366 (870)	square of smooth sheep leather
00000367 (871)	caliginous wolf hide
00000368 (872)	square of tough dhalmel leather
00000369 (873)	square of light ram leather
0000036A (874)	amaltheia hide
0000036B (875)	square of amaltheia leather
0000036C (876)	manta skin
0000036D (877)	square of manta leather
0000036E (878)	karakul skin
0000036F (879)	square of karakul leather
00000370 (880)	bone chip
00000371 (881)	crab shell
00000372 (882)	sheep tooth
00000373 (883)	behemoth horn
00000374 (884)	black tiger fang
00000375 (885)	turtle shell
00000376 (886)	Demon skull
00000377 (887)	coral fragment
00000378 (888)	seashell
00000379 (889)	beetle shell
0000037A (890)	old tiger's fang
0000037B (891)	bat fang
0000037C (892)	wyrm skull
0000037D (893)	giant femur
0000037E (894)	beetle jaw
0000037F (895)	ram horn
00000380 (896)	scorpion shell
00000381 (897)	scorpion claw
00000382 (898)	chicken bone
00000383 (899)	Ifrit horn
00000384 (900)	set of fish bones
00000385 (901)	venomous claw
00000386 (902)	Demon horn
00000387 (903)	dragon talon
00000388 (904)	set of giant fish bones
00000389 (905)	wyvern skull
0000038A (906)	starmite shell
0000038B (907)	cold bone
0000038C (908)	adamantoise shell
0000038D (909)	Guivre's skull
0000038E (910)	lumbering horn
0000038F (911)	rampaging horn
00000390 (912)	beehive chip
00000391 (913)	lump of beeswax
00000392 (914)	vial of mercury
00000393 (915)	jar of toad oil
00000394 (916)	cactuar needle
00000395 (917)	sheet of parchment
00000396 (918)	sprig of mistletoe
00000397 (919)	clump of Boyahda moss
00000398 (920)	malboro vine
00000399 (921)	bottle of Ahriman tears
0000039A (922)	bat wing
0000039B (923)	dryad root
0000039C (924)	vial of fiend blood
0000039D (925)	giant stinger
0000039E (926)	lizard tail
0000039F (927)	coeurl whisker
000003A0 (928)	pinch of bomb ash
000003A1 (929)	jar of black ink
000003A2 (930)	vial of beastman blood
000003A3 (931)	cermet chunk
000003A4 (932)	loop of carbon fiber
000003A5 (933)	loop of glass fiber
000003A6 (934)	pinch of Yuhtunga sulfur
000003A7 (935)	Ahriman wing
000003A8 (936)	chunk of rock salt
000003A9 (937)	block of animal glue
000003AA (938)	sprig of papaka grass
000003AB (939)	hecteyes eye
000003AC (940)	revival tree root
000003AD (941)	red rose
000003AE (942)	philosopher's stone
000003AF (943)	pinch of poison dust
000003B0 (944)	pinch of venom dust
000003B1 (945)	pinch of paralysis dust
000003B2 (946)	pinch of crystal dust
000003B3 (947)	jar of firesand
000003B4 (948)	carnation
000003B5 (949)	rain lily
000003B6 (950)	Tahrongi cactus
000003B7 (951)	wijnruit
000003B8 (952)	bag of poison flour
000003B9 (953)	treant bulb
000003BA (954)	magic pot shard
000003BB (955)	golem shard
000003BC (956)	lilac
000003BD (957)	amaryllis
000003BE (958)	marguerite
000003BF (959)	dahlia
000003C0 (960)	ace of cups card
000003C1 (961)	two of cups card
000003C2 (962)	three of cups card
000003C3 (963)	four of cups card
000003C4 (964)	five of cups card
000003C5 (965)	six of cups card
000003C6 (966)	seven of cups card
000003C7 (967)	eight of cups card
000003C8 (968)	nine of cups card
000003C9 (969)	ten of cups card
000003CA (970)	jack of cups card
000003CB (971)	queen of cups card
000003CC (972)	king of cups card
000003CD (973)	ace of batons card
000003CE (974)	two of batons card
000003CF (975)	three of batons card
000003D0 (976)	four of batons card
000003D1 (977)	five of batons card
000003D2 (978)	six of batons card
000003D3 (979)	seven of batons card
000003D4 (980)	eight of batons card
000003D5 (981)	nine of batons card
000003D6 (982)	ten of batons card
000003D7 (983)	jack of batons card
000003D8 (984)	queen of batons card
000003D9 (985)	king of batons card
000003DA (986)	ace of swords card
000003DB (987)	two of swords card
000003DC (988)	three of swords card
000003DD (989)	four of swords card
000003DE (990)	five of swords card
000003DF (991)	six of swords card
000003E0 (992)	seven of swords card
000003E1 (993)	eight of swords card
000003E2 (994)	nine of swords card
000003E3 (995)	ten of swords card
000003E4 (996)	jack of swords card
000003E5 (997)	queen of swords card
000003E6 (998)	king of swords card
000003E7 (999)	ace of coins card
000003E8 (1000)	two of coins card
000003E9 (1001)	three of coins card
000003EA (1002)	four of coins card
000003EB (1003)	five of coins card
000003EC (1004)	six of coins card
000003ED (1005)	seven of coins card
000003EE (1006)	eight of coins card
000003EF (1007)	nine of coins card
000003F0 (1008)	ten of coins card
000003F1 (1009)	jack of coins card
000003F2 (1010)	queen of coins card
000003F3 (1011)	king of coins card
000003F4 (1012)	nue fang
000003F5 (1013)	morbolger vine
000003F6 (1014)	dodo skin
000003F7 (1015)	sand bat fang
000003F8 (1016)	Remi shell
000003F9 (1017)	scorpion stinger
000003FA (1018)	bulb of shaman garlic
000003FB (1019)	chunk of Lufet salt
000003FC (1020)	sickle
000003FD (1021)	hatchet
000003FE (1022)	set of thief's tools
000003FF (1023)	living key
00000400 (1024)	Ghelsba chest key
00000401 (1025)	Palborough chest key
00000402 (1026)	Giddeus chest key
00000403 (1027)	Ranperre chest key
00000404 (1028)	Dangruf chest key
00000405 (1029)	Horutoto chest key
00000406 (1030)	Ordelle chest key
00000407 (1031)	Gusgen chest key
00000408 (1032)	Shakhrami chest key
00000409 (1033)	Davoi chest key
0000040A (1034)	Beadeaux chest key
0000040B (1035)	Oztroja chest key
0000040C (1036)	Delkfutt chest key
0000040D (1037)	Fei'Yin chest key
0000040E (1038)	Zvahl chest key
0000040F (1039)	Eldieme chest key
00000410 (1040)	Nest chest key
00000411 (1041)	Garlaige chest key
00000412 (1042)	Davoi coffer key
00000413 (1043)	Beadeaux coffer key
00000414 (1044)	Oztroja coffer key
00000415 (1045)	Nest coffer key
00000416 (1046)	Eldieme coffer key
00000417 (1047)	Garlaige coffer key
00000418 (1048)	Zvahl coffer key
00000419 (1049)	Uggalepih coffer key
0000041A (1050)	Rancor Den coffer key
0000041B (1051)	Kuftal coffer key
0000041C (1052)	Boyahda coffer key
0000041D (1053)	Cauldron coffer key
0000041E (1054)	Quicksand coffer key
0000041F (1055)	Grotto chest key
00000420 (1056)	Onzozo chest key
00000421 (1057)	Toraimarai coffer key
00000422 (1058)	Ru'Aun coffer key
00000423 (1059)	Grotto coffer key
00000424 (1060)	Ve'Lugannon coffer key
00000425 (1061)	Sacrarium chest key
00000426 (1062)	Oldton chest key
00000427 (1063)	Newton coffer key
00000428 (1064)	Pso'Xja chest key
00000440 (1088)	piece of ancient papyrus
00000441 (1089)	clump of exoray mold
00000442 (1090)	chunk of bomb coal
00000443 (1091)	lump of chandelier coal
00000444 (1092)	regal die
00000445 (1093)	antique coin
00000446 (1094)	nail puller
00000447 (1095)	well weight
00000448 (1096)	Tavnazia pass
00000449 (1097)	canteen of Yagudo holy water
0000044A (1098)	Tavnazia bell
0000044B (1099)	parasite skin
0000044C (1100)	Xalmo feather
0000044D (1101)	mottled Quadav egg
0000044E (1102)	bunch of blazing peppers
0000044F (1103)	Davoi storage key
00000450 (1104)	glowstone
00000451 (1105)	bag of seeds
00000452 (1106)	Whine Cellar key
00000453 (1107)	pinch of glittersand
00000454 (1108)	pinch of sulfur
00000455 (1109)	artificial lens
00000456 (1110)	vial of black beetle blood
00000457 (1111)	block of gelatin
00000458 (1112)	handful of Orcish mail scales
00000459 (1113)	old earring
0000045A (1114)	vial of Quadav mage blood
0000045B (1115)	skeleton key
0000045C (1116)	manticore hide
0000045D (1117)	square of manticore leather
0000045E (1118)	Antican pauldron
0000045F (1119)	Tonberry coat
00000460 (1120)	casablanca
00000461 (1121)	Antican robe
00000462 (1122)	wyvern skin
00000463 (1123)	manticore fang
00000464 (1124)	wyvern wing
00000465 (1125)	Carbuncle's ruby
00000466 (1126)	beastmen's seal
